Trial name	epochs	loss	max accuracy	test accuracy	val accuracy
train_model_raytune_056a6_00212	19	5.71185	0.759178	0.760499	0.757566
train_model_raytune_056a6_00213	19	5.34136	0.769268	0.776375	0.767899
train_model_raytune_056a6_00214	9	5.91065	0.749175	0.762613	0.748321
train_model_raytune_056a6_00215	29	5.03474	0.784637	0.798912	0.783884
train_model_raytune_056a6_00216	19	5.4041	0.76509	0.780479	0.76509
train_model_raytune_056a6_00217	9	5.74614	0.747835	0.751907	0.747835
train_model_raytune_056a6_00218	9	5.79287	0.744769	0.746495	0.744769
train_model_raytune_056a6_00219	9	5.79494	0.747566	0.750709	0.747535
train_model_raytune_056a6_00220	9	5.95917	0.737171	0.747288	0.737171
train_model_raytune_056a6_00221	29	5.23771	0.772257	0.778224	0.772257
train_model_raytune_056a6_00222	9	5.78551	0.74618	0.750444	0.74618
train_model_raytune_056a6_00223	9	5.70492	0.753415	0.753503	0.753415
train_model_raytune_056a6_00224	29	5.35639	0.772875	0.780526	0.76978
train_model_raytune_056a6_00225	9	5.69839	0.751999	0.753927	0.751999
train_model_raytune_056a6_00226	9	5.88904	0.74031	0.754966	0.74031
train_model_raytune_056a6_00227	9	5.84124	0.748001	0.746013	0.747445
train_model_raytune_056a6_00228	19	5.46172	0.763265	0.778995	0.762941
train_model_raytune_056a6_00229	19	5.53157	0.75984	0.774181	0.759078
train_model_raytune_056a6_00230	29	5.18561	0.775875	0.782545	0.775875
train_model_raytune_056a6_00231	9	5.69669	0.748626	0.773552	0.748626
train_model_raytune_056a6_00232	29	5.3706	0.771016	0.784897	0.770606
train_model_raytune_056a6_00233	9	5.75073	0.749065	0.759863	0.749065
train_model_raytune_056a6_00234	19	5.64833	0.761815	0.788074	0.757102
train_model_raytune_056a6_00235	19	5.49647	0.76001	0.769795	0.759958
train_model_raytune_056a6_00236	9	5.71075	0.751428	0.751517	0.751028
train_model_raytune_056a6_00237	9	14.6722	0	0	0
train_model_raytune_056a6_00238	9	5.97632	0.738416	0.740147	0.738416
train_model_raytune_056a6_00239	9	6.02135	0.735744	0.749789	0.735744
train_model_raytune_056a6_00240	9	5.69858	0.749904	0.763477	0.74963
train_model_raytune_056a6_00241	9	5.67493	0.753268	0.757263	0.753268
train_model_raytune_056a6_00242	29	5.42341	0.772684	0.798235	0.771606
train_model_raytune_056a6_00243	9	5.89823	0.743535	0.738912	0.743535
train_model_raytune_056a6_00244	19	5.51752	0.762646	0.781543	0.762215
train_model_raytune_056a6_00245	9	5.966	0.734275	0.736007	0.734008
train_model_raytune_056a6_00246	19	5.43896	0.765046	0.763768	0.765046
train_model_raytune_056a6_00247	19	5.45694	0.763246	0.769459	0.763246
train_model_raytune_056a6_00248	9	5.87276	0.74127	0.756846	0.74127
train_model_raytune_056a6_00249	9	5.65133	0.75332	0.759626	0.75332
train_model_raytune_056a6_00250	19	5.45348	0.762794	0.767751	0.762731
train_model_raytune_056a6_00251	19	5.54744	0.759676	0.767254	0.759676
train_model_raytune_056a6_00252	19	5.5174	0.761574	0.765121	0.761574
train_model_raytune_056a6_00253	29	5.24011	0.776524	0.795614	0.776524
train_model_raytune_056a6_00254	29	5.25388	0.772307	0.775996	0.772307
train_model_raytune_056a6_00255	9	5.96994	0.735522	0.745398	0.735522
train_model_raytune_056a6_00256	19	5.36358	0.767747	0.765926	0.767747
train_model_raytune_056a6_00257	9	5.89724	0.745056	0.742543	0.745056
train_model_raytune_056a6_00258	9	5.86895	0.744458	0.737467	0.744458
train_model_raytune_056a6_00259	19	5.58141	0.763335	0.770219	0.759674
train_model_raytune_056a6_00260	9	5.85845	0.74194	0.752857	0.74194
train_model_raytune_056a6_00261	19	5.39521	0.765281	0.773022	0.764891
train_model_raytune_056a6_00262	9	6.24339	0.720954	0.722333	0.720954
train_model_raytune_056a6_00263	19	5.60524	0.758973	0.759472	0.757572
train_model_raytune_056a6_00264	9	6.45822	0.711965	0.716456	0.711965
train_model_raytune_056a6_00265	9	6.01294	0.737105	0.752921	0.737105
train_model_raytune_056a6_00266	19	5.49631	0.764074	0.774254	0.763401
train_model_raytune_056a6_00267	9	5.92953	0.738999	0.754552	0.738999
train_model_raytune_056a6_00268	9	5.77641	0.749057	0.76106	0.747929
train_model_raytune_056a6_00269	9	5.74057	0.748286	0.750388	0.748286
train_model_raytune_056a6_00270	19	5.42337	0.767677	0.771424	0.767677
train_model_raytune_056a6_00271	19	5.38256	0.76703	0.775707	0.76703
train_model_raytune_056a6_00272	29	5.07974	0.780127	0.782668	0.780127
train_model_raytune_056a6_00273	9	12.3366	0.433158	0.432472	0.433158
train_model_raytune_056a6_00274	29	5.24449	0.772025	0.775271	0.772025
train_model_raytune_056a6_00275	9	5.77	0.750505	0.756218	0.750505
train_model_raytune_056a6_00276	19	5.41559	0.769917	0.775039	0.764777
train_model_raytune_056a6_00277	9	5.69657	0.75125	0.755116	0.750082
train_model_raytune_056a6_00278	9	5.64065	0.75249	0.757827	0.75249
train_model_raytune_056a6_00279	19	5.46865	0.764982	0.76356	0.764982
train_model_raytune_056a6_00280	9	5.97032	0.740048	0.751363	0.737179
train_model_raytune_056a6_00281	9	5.70547	0.751955	0.751843	0.751955
train_model_raytune_056a6_00282	29	5.32014	0.771446	0.7832	0.770083
train_model_raytune_056a6_00283	29	5.31926	0.77045	0.787322	0.770382
train_model_raytune_056a6_00284	9	5.79799	0.749926	0.748609	0.749926
train_model_raytune_056a6_00285	9	6.05425	0.743904	0.744058	0.739862
train_model_raytune_056a6_00286	9	7.349	0.679962	0.647633	0.679962
train_model_raytune_056a6_00287	9	5.68587	0.751905	0.760825	0.751905
train_model_raytune_056a6_00288	9	6.21141	0.727471	0.722529	0.727471
train_model_raytune_056a6_00289	29	5.24439	0.774259	0.792802	0.773836
train_model_raytune_056a6_00290	9	5.75563	0.743481	0.766265	0.743481
